,q00,q05,q25,q50,q75,q95,q100,q00,q05,q25,q50,q75,q95,q100
gpd3,4.05,4.27,4.42,4.57,4.75,5.10,6.24,4.05,4.27,4.42,4.57,4.75,5.10,6.24
gpd4,4.02,4.26,4.42,4.57,4.75,5.09,6.28,4.00,4.23,4.39,4.53,4.71,5.04,6.23
gpd5,3.96,4.29,4.46,4.61,4.79,5.14,7.34,3.94,4.25,4.47,4.66,4.88,5.29,7.94
gpd6,4.04,4.24,4.40,4.54,4.71,5.05,6.29,3.86,4.07,4.23,4.40,4.64,5.12,8.45
bma,4.17,4.40,4.51,4.60,4.71,4.89,5.37,4.15,4.39,4.50,4.60,4.71,4.89,5.42
gpd3,1.73,1.91,2.04,2.16,2.32,2.67,4.16,1.73,1.91,2.04,2.16,2.32,2.67,4.16
gpd4,1.74,1.90,2.04,2.16,2.33,2.67,4.15,1.74,1.91,2.05,2.17,2.35,2.70,4.11
gpd5,1.76,1.92,2.06,2.19,2.37,2.75,4.35,1.64,1.90,2.08,2.25,2.47,2.93,4.92
gpd6,1.73,1.89,2.03,2.15,2.31,2.66,4.86,1.55,1.70,1.84,1.98,2.19,2.66,4.70
bma,1.88,2.01,2.11,2.19,2.30,2.49,3.19,1.84,2.01,2.11,2.20,2.31,2.51,3.19